sleep_hours,study_hours,screen_time,exercise,social_time,productivity_score,burnout_risk
8.64,4.39,8.73,2.09,0.47,45.92,1
8.57,7.86,2.15,1.35,1.85,100.0,0
7.86,8.23,4.99,0.68,2.77,85.01,0
8.97,6.32,7.82,1.06,4.85,59.66,1
8.67,1.95,5.2,0.13,0.77,40.38,1
8.47,9.68,3.93,1.11,2.35,100.0,0
4.78,4.76,3.04,2.01,2.19,49.27,1
8.99,8.05,4.49,0.86,3.41,91.33,0
5.2,0.07,8.08,1.99,3.53,0.0,1
6.75,5.69,2.26,0.34,3.34,80.39,0
7.39,7.65,6.71,1.66,2.8,89.23,0
4.18,4.37,2.93,1.23,4.27,23.02,1
4.35,2.81,3.64,1.99,2.79,25.14,1
7.99,4.06,8.33,0.5,0.11,47.24,1
8.33,4.62,2.45,1.5,0.76,87.44,0
6.68,3.81,3.71,1.89,1.81,54.61,0
4.71,9.62,9.18,2.1,1.33,60.81,2
8.67,7.17,5.04,0.82,0.48,82.1,1
6.73,2.02,3.75,1.74,0.88,41.38,0
8.55,7.19,4.89,1.88,2.92,84.53,0
4.51,4.16,1.37,1.48,1.65,46.39,1
4.62,5.88,2.54,2.78,2.91,49.18,1
7.55,0.23,9.63,1.45,3.91,15.76,1
6.92,4.91,9.44,1.72,2.37,51.52,1
5.99,5.21,4.95,0.06,4.13,45.03,1
4.84,5.54,1.98,2.02,1.41,59.87,1
8.36,7.69,1.97,2.75,1.15,100.0,0
7.33,3.71,8.47,2.42,1.59,58.35,1
5.75,5.15,3.3,2.81,0.82,68.74,0
6.61,9.92,9.03,2.25,4.45,88.08,1
7.11,3.16,7.95,1.98,1.87,48.22,1
8.48,2.62,9.43,0.72,0.61,48.85,1
4.92,1.79,6.39,2.62,0.98,8.88,1
8.66,9.72,5.51,0.43,0.07,100.0,2
4.79,6.78,2.1,1.52,3.47,51.42,1
5.2,8.04,7.44,2.22,0.66,59.17,2
5.81,4.89,6.97,2.87,1.43,49.72,1
4.15,5.55,6.71,0.32,0.7,28.44,2
9.8,5.96,9.4,2.41,2.34,64.75,1
4.11,1.09,8.46,2.39,1.16,0.0,2
7.64,8.68,6.43,1.24,1.87,100.0,1
7.91,8.67,5.09,0.74,1.18,91.03,1
8.9,1.05,1.6,1.78,0.73,67.86,0
5.86,1.44,9.29,0.5,1.42,2.86,2
4.69,0.21,1.5,0.52,0.27,13.07,1
8.08,3.94,3.86,1.51,4.38,59.74,0
4.26,1.81,3.13,0.75,2.86,12.78,1
4.3,3.74,5.71,0.31,4.17,11.85,2
9.55,0.99,8.59,2.71,4.9,24.46,1
8.68,6.42,8.01,0.4,2.68,60.87,1
9.15,4.63,4.47,1.92,1.33,71.13,0
6.87,4.17,3.09,1.1,1.83,63.97,0
